npy_path,label,original_filename
Fear/Guild Wars 2 OST - 70. The Heart of Rata Sum.npy,Fear,Guild Wars 2 OST - 70. The Heart of Rata Sum.mp3
Action/The House Of The Borsodis.npy,Action,The House Of The Borsodis.mp3
Peaceful/Final Fantasy Tactics OST - Antidote.npy,Peaceful,Final Fantasy Tactics OST - Antidote.mp3
Peaceful/Guild Wars 2 Living Story Season 2 OST - Camp Resolve.npy,Peaceful,Guild Wars 2 Living Story Season 2 OST - Camp Resolve.mp3
Action/Guild Wars 2 OST - 2009 Teaser Trailer music edit.npy,Action,Guild Wars 2 OST - 2009 Teaser Trailer music edit.mp3
Action/Pillars of Eternity Soundtrack 20 - Combat B (Justin Bell).npy,Action,Pillars of Eternity Soundtrack 20 - Combat B (Justin Bell).mp3
Action/LEGO Pirates of the Caribbean Music - London.npy,Action,LEGO Pirates of the Caribbean Music - London.mp3
Peaceful/Gothic 3 -- OST 04 'Vista Point'.npy,Peaceful,Gothic 3 -- OST 04 'Vista Point'.mp3
Action/19 - The Witcher 2 Score - Easier Said Than Killed (Extended).npy,Action,19 - The Witcher 2 Score - Easier Said Than Killed (Extended).mp3
Mystic/Tribal Instrumental Music-03.npy,Mystic,Tribal Instrumental Music-03.mp3
Mysterious/Gothic 2 Soundtrack - 09 Lesters Valley.npy,Mysterious,Gothic 2 Soundtrack - 09 Lesters Valley.mp3
Fear/03 - Dark Discovery - James Horner - Aliens.npy,Fear,03 - Dark Discovery - James Horner - Aliens.mp3
Peaceful/Guild Wars 2 OST - Pale Tree Elevator.npy,Peaceful,Guild Wars 2 OST - Pale Tree Elevator.mp3
Mysterious/Witch Hunters.npy,Mysterious,Witch Hunters.mp3
Mystic/Guild Wars 2 OST - 22. Farahr.npy,Mystic,Guild Wars 2 OST - 22. Farahr.mp3
Fear/Seeking Resonance.npy,Fear,Seeking Resonance.mp3
Action/52 - The Witcher 2 Score - The Scent of Battle (Extended).npy,Action,52 - The Witcher 2 Score - The Scent of Battle (Extended).mp3
Action/LEGO Pirates of the Caribbean Music - Singapore Battle.npy,Action,LEGO Pirates of the Caribbean Music - Singapore Battle.mp3
Mystic/Tribal Instrumental Music-09.npy,Mystic,Tribal Instrumental Music-09.mp3
Fear/Whatsoever A Man Soweth.npy,Fear,Whatsoever A Man Soweth.mp3
Fear/14 - Newt Is Taken - James Horner - Aliens.npy,Fear,14 - Newt Is Taken - James Horner - Aliens.mp3
Action/Assassin's Creed IV Black Flag Main Theme Epic.npy,Action,Assassin's Creed IV Black Flag Main Theme Epic.mp3
Action/Baldur's Gate OST - From Out of the Storm.npy,Action,Baldur's Gate OST - From Out of the Storm.mp3
Mystic/Trial Of The Grasses.npy,Mystic,Trial Of The Grasses.mp3
Fear/Gothic 3 -- OST 27 'Death Valley'.npy,Fear,Gothic 3 -- OST 27 'Death Valley'.mp3
Mystic/Baldur's Gate OST - The Lady's House.npy,Mystic,Baldur's Gate OST - The Lady's House.mp3
Mysterious/LEGO Pirates of the Caribbean Music - White Cap.npy,Mysterious,LEGO Pirates of the Caribbean Music - White Cap.mp3
Action/Assassin's Creed IV Black Flag OST - 04 - The High Seas.npy,Action,Assassin's Creed IV Black Flag OST - 04 - The High Seas.mp3
Fear/XFiles - Weather Balloons.npy,Fear,XFiles - Weather Balloons.mp3
Peaceful/Guild Wars 2 OST - 48. The Last Great City of Men.npy,Peaceful,Guild Wars 2 OST - 48. The Last Great City of Men.mp3
Mysterious/Mandela Catalogue - The Two of Us.npy,Mysterious,Mandela Catalogue - The Two of Us.mp3
Mystic/Guild Wars 2 OST - 40. Sunrise Over Astorea.npy,Mystic,Guild Wars 2 OST - 40. Sunrise Over Astorea.mp3
